Date,City,Temperature,Humidity,AirQualityIndex,NoiseLevel_dB,HumanActivityLevel,NearbyGreenSpaces,RoadDensity,WildlifeSpecies,SpeciesCategory,NumberOfSightings,TimeOfDay,WeatherCondition,DayOfWeek,Season,ProximityToWaterSource,UrbanDevelopmentIndex,PublicAwarenessLevel,ConservationEffortsLevel,GarbageManagementScore,LightPollutionLevel,TypeOfSighting,PhotographicEvidence,CitizenReportReliability,SightingDuration_Min,InteractionType,AnimalBehavior,IsEndangeredSpecies,DistanceFromCityCenter_km,ResidentialAreaType,NoiseToleranceLevel,VegetationDensity,ObservationMethod
13-05-12,Karachi,20.3,85.8,270,85,4,2,8,Cobra,Reptile,5,Morning,Cloudy,Wed,Autumn,7,0.33,0.55,0.57,0.98,0.08,Heard,Yes,0.38,12.3,Fed,Feeding,No,13.5,Urban,0.49,0.44,In-person
13-06-21,Peshawar,26.8,79.1,116,79,7,1,5,Porcupine,Mammal,7,Morning,Sunny,Sat,Autumn,1,0.25,0.3,0.32,0.85,0.14,Photographed,No,0.74,33.6,Chased,Fleeing,Yes,14.9,Rural,0.42,0.33,App
30-08-23,Karachi,33.3,25.7,184,96,3,4,3,Bat,Mammal,1,Evening,Sunny,Tue,Spring,7,0.7,0.8,0.89,0.34,0.38,Heard,No,0.18,35.1,Heard,Fleeing,Yes,1.9,Semi-urban,0.47,0.59,In-person
10-04-11,Lahore,23.6,61.4,135,88,3,1,5,Owl,Bird,6,Night,Sunny,Mon,Winter,4,0.52,0.77,0.22,0.62,0.09,Seen,Yes,0.15,32.3,Heard,Fleeing,No,27.1,Semi-urban,0.64,0.75,Hotline
14-03-22,Peshawar,44.3,56.1,207,58,0,2,9,Fox,Mammal,7,Afternoon,Foggy,Mon,Autumn,9,0.03,0.96,0.84,0.7,0.41,Photographed,No,0.26,10.2,Photographed,Fleeing,No,12.6,Urban,0.55,0.74,Hotline
30-01-22,Islamabad,34.8,39.6,65,78,4,4,6,Porcupine,Mammal,3,Morning,Sunny,Sat,Summer,9,0.36,0.76,0.01,0.12,0.05,Seen,Yes,0.14,51.5,Fed,Fleeing,Yes,35.2,Urban,0.47,0.19,App
05-03-14,Lahore,29.7,53.1,82,69,4,1,9,Owl,Bird,6,Morning,Cloudy,Thu,Winter,4,0.89,0.26,0.02,0.93,0.5,Fed,Yes,0.59,41.4,Fed,Feeding,Yes,30.8,Rural,0.94,0.95,App
28-11-22,Peshawar,41,64.5,133,63,1,2,0,Cobra,Reptile,1,Evening,Cloudy,Sat,Summer,2,0.82,0.63,0.82,0.65,0.21,Heard,No,0.35,13.7,Chased,Aggressive,No,18.9,Semi-urban,0.04,0.66,Website
27-11-22,Karachi,25.1,65.9,142,65,9,1,1,Fox,Mammal,3,Night,Sunny,Mon,Spring,8,0.5,0.69,0.35,0.94,0.04,Fed,No,0.48,58.1,Heard,Curious,Yes,27.4,Urban,0.42,0.61,Website
24-06-11,Islamabad,32.3,71.2,85,57,0,4,0,Monkey,Mammal,7,Night,Rainy,Fri,Winter,6,0.75,0.1,0.9,0.51,0.83,Fed,No,0.39,53.8,Seen,Aggressive,No,19.5,Urban,0.01,0.91,App
18-05-11,Quetta,17.7,42.4,255,70,3,2,9,Monkey,Mammal,5,Evening,Rainy,Fri,Spring,4,0.29,0.33,0.67,0.75,0.79,Photographed,Yes,0.81,6.4,Photographed,Feeding,No,24.8,Semi-urban,0.06,0.59,App
04-01-15,Karachi,28.2,82.1,284,50,1,3,8,Bat,Mammal,1,Evening,Sunny,Mon,Summer,5,0.08,0.7,0.07,0.82,0.71,Heard,No,0.17,6,Heard,Fleeing,No,49.3,Rural,0.37,0.43,App
21-07-15,Karachi,39.4,86.3,266,84,3,3,5,Owl,Bird,3,Afternoon,Sunny,Sun,Summer,5,0.71,0.25,0.33,0.43,0.25,Fed,Yes,0.46,34.7,Chased,Aggressive,Yes,37.1,Semi-urban,0.77,0.84,Website
29-05-21,Karachi,37.3,67.7,141,96,0,0,7,Cobra,Reptile,1,Afternoon,Cloudy,Sat,Winter,5,0.44,0.8,0.98,0.56,0.32,Photographed,No,0.14,55.6,Fed,Aggressive,Yes,46,Urban,0.25,0.73,Hotline
12-10-20,Peshawar,17.3,31.6,98,53,0,4,5,Fox,Mammal,6,Afternoon,Rainy,Sun,Autumn,2,0.9,0.05,0.28,0.95,0.89,Heard,No,0.51,37.6,Heard,Calm,No,13.9,Urban,0.19,0.52,In-person
21-04-20,Lahore,25.6,60.9,269,76,8,3,5,Porcupine,Mammal,1,Night,Rainy,Wed,Spring,8,0.31,0.81,0.68,0.16,0.91,Heard,Yes,0.84,57,Heard,Fleeing,No,36.3,Semi-urban,0.61,0.48,App
22-09-15,Islamabad,43,80.6,158,44,6,0,5,Cobra,Reptile,1,Night,Rainy,Mon,Winter,1,0.99,0.15,0.59,0.38,0.97,Photographed,Yes,0.86,50.5,Fed,Curious,Yes,23.5,Urban,0.41,0.35,In-person
31-12-12,Islamabad,16.7,80.5,258,44,4,2,4,Cobra,Reptile,7,Night,Sunny,Thu,Spring,4,0.73,0.76,0.38,0.24,0.21,Photographed,Yes,0.33,17.2,Chased,Calm,Yes,10.4,Semi-urban,0.88,0.78,In-person
01-08-16,Karachi,16.4,38.8,88,65,9,1,5,Cobra,Reptile,6,Evening,Sunny,Sat,Summer,2,0.52,0.85,0.55,0.56,0.88,Fed,No,0.46,8.9,Chased,Curious,No,1.5,Rural,0.76,0.66,Website
31-05-20,Quetta,36.1,34.9,215,99,1,1,1,Monkey,Mammal,2,Afternoon,Foggy,Sat,Autumn,2,0.9,0.35,0.51,0.78,0.4,Heard,No,0.66,51.9,Chased,Feeding,Yes,47.5,Semi-urban,0.15,0.93,Website
25-05-12,Lahore,29.8,38.1,265,44,1,4,1,Bat,Mammal,3,Evening,Foggy,Thu,Autumn,8,0.46,0.58,0.4,0.7,0.18,Heard,No,0.73,25.3,Heard,Calm,No,43.7,Rural,0.52,0.98,Website
27-03-18,Karachi,33.1,35.7,70,44,1,3,9,Porcupine,Mammal,6,Evening,Cloudy,Sun,Spring,4,0.55,0.53,0.36,0.89,0.13,Heard,Yes,0.4,20,Seen,Aggressive,No,4.7,Rural,0.48,0.72,App
11-10-17,Peshawar,30.3,31,97,56,9,3,0,Bat,Mammal,8,Afternoon,Foggy,Thu,Autumn,0,0.6,0.99,0.54,0.92,0.24,Heard,Yes,0.78,32.3,Seen,Calm,No,36.1,Urban,0.06,0.23,Hotline
18-01-18,Quetta,19,68.1,200,85,1,1,5,Hedgehog,Mammal,3,Morning,Cloudy,Sun,Winter,2,0.24,0.27,0.38,0.02,0.32,Chased,Yes,0.29,20.3,Chased,Feeding,No,6.1,Semi-urban,0.89,0.63,In-person
19-03-24,Quetta,35.4,75.2,158,57,3,1,7,Hedgehog,Mammal,8,Afternoon,Foggy,Thu,Summer,0,0.56,0.38,0.34,0.9,0.61,Heard,No,0.32,30.4,Fed,Fleeing,Yes,16.6,Semi-urban,0.93,0.11,In-person
27-09-15,Karachi,21.8,45.6,161,43,7,0,6,Wild Cat,Mammal,3,Afternoon,Rainy,Wed,Summer,2,0.02,0.7,1,0.9,0.58,Fed,Yes,0.93,1.3,Heard,Aggressive,Yes,48.8,Semi-urban,0.49,0.75,Hotline
18-01-26,Lahore,39.6,70.3,252,47,9,2,4,Owl,Bird,6,Night,Foggy,Wed,Autumn,9,0.32,0.43,0.51,0.24,0.11,Chased,Yes,0.65,18,Heard,Fleeing,No,29.1,Rural,0.15,0.53,App
30-09-24,Quetta,31,23.6,227,95,9,4,6,Bat,Mammal,2,Night,Sunny,Wed,Summer,7,0.81,0.25,0.68,0.76,0.6,Chased,No,0.52,25.3,Fed,Feeding,Yes,17.5,Semi-urban,0.93,0.85,Hotline
02-07-16,Islamabad,44,28.7,169,50,8,1,2,Bat,Mammal,3,Night,Sunny,Thu,Summer,0,0.74,0.57,0.84,0.14,0.8,Chased,Yes,0.28,10.7,Chased,Aggressive,Yes,8.3,Semi-urban,0.81,0.7,App
06-06-15,Karachi,30.7,45.1,286,81,8,1,7,Bat,Mammal,8,Afternoon,Foggy,Tue,Winter,6,0.71,0.9,0.62,0.54,0.44,Photographed,No,0.62,22,Photographed,Aggressive,No,19.6,Semi-urban,0.53,0.16,Website
15-01-23,Peshawar,21.9,58,247,45,2,2,7,Wild Cat,Mammal,4,Night,Rainy,Sun,Winter,0,0.53,0.89,0.79,0.15,0.31,Chased,Yes,0.32,44.9,Fed,Calm,No,1.8,Urban,0.57,0.79,App
12-01-23,Karachi,41.3,43.9,87,52,3,4,7,Fox,Mammal,4,Afternoon,Cloudy,Sun,Winter,7,0.5,0.54,0.49,0.41,0.77,Fed,Yes,0.11,36.3,Heard,Aggressive,No,28.3,Rural,0.72,0.64,App
07-10-18,Quetta,39.8,87.1,153,77,5,1,9,Porcupine,Mammal,8,Night,Rainy,Sun,Summer,1,0.61,0.02,0.87,0.93,0.57,Heard,Yes,0.73,55.4,Heard,Curious,Yes,35.4,Rural,0.15,0.62,App
07-07-16,Islamabad,33.2,49.7,78,53,7,0,5,Bat,Mammal,7,Night,Cloudy,Mon,Spring,0,0.11,0.98,0.84,0.12,0.92,Seen,No,0.88,31.6,Fed,Calm,Yes,29.6,Semi-urban,0.4,0.15,In-person
24-04-25,Islamabad,25.1,76.2,166,65,8,2,3,Owl,Bird,9,Evening,Sunny,Sun,Autumn,9,0.92,0.35,0.35,0.74,0.45,Chased,Yes,0.3,27.7,Chased,Curious,No,7.1,Rural,0.18,0.55,Hotline
20-06-10,Peshawar,27.6,84,226,68,5,1,1,Monkey,Mammal,5,Evening,Foggy,Thu,Autumn,0,0.18,0.96,0.15,0.41,0.09,Fed,No,1,30.6,Photographed,Aggressive,Yes,29.8,Semi-urban,0.07,0.77,In-person
07-09-14,Lahore,21.3,82.9,81,69,0,4,7,Hedgehog,Mammal,3,Night,Rainy,Mon,Autumn,1,0.29,0.71,0.53,0.53,0.48,Photographed,Yes,0.55,46.2,Chased,Aggressive,No,5.2,Semi-urban,0.33,0.17,Website
26-04-25,Islamabad,37.6,39.1,260,85,1,3,0,Wild Cat,Mammal,7,Morning,Cloudy,Mon,Spring,6,0.16,0.72,0.66,0.03,0.22,Chased,No,0.31,40.6,Fed,Aggressive,No,1.1,Rural,0.1,0.82,In-person
05-10-12,Peshawar,20.4,65.7,288,47,1,2,7,Fox,Mammal,8,Morning,Rainy,Tue,Autumn,3,0.94,0.14,0.41,0.32,0.09,Heard,No,0.67,44.4,Fed,Curious,No,42.4,Rural,0.12,0.89,Website
06-01-12,Peshawar,34.3,69.3,178,86,4,3,9,Cobra,Reptile,2,Evening,Foggy,Wed,Summer,2,0.59,0.27,0.62,0.41,0.55,Photographed,Yes,0.49,18.4,Seen,Aggressive,No,47.4,Urban,0.76,0.23,Hotline
15-10-10,Lahore,41.1,54.1,287,62,0,1,2,Porcupine,Mammal,1,Night,Rainy,Sat,Summer,8,0.54,0.63,0.26,0.14,0.83,Seen,Yes,0.99,32,Photographed,Aggressive,No,8.7,Urban,0.27,0.12,Website
13-09-16,Karachi,42.4,28.2,149,80,5,1,0,Monkey,Mammal,5,Evening,Sunny,Mon,Summer,8,0.5,0.72,0.11,0.14,0.26,Heard,No,0.34,44.2,Seen,Calm,No,12.6,Semi-urban,0.63,0.54,In-person
31-12-18,Peshawar,32.2,78.7,262,67,9,1,5,Cobra,Reptile,1,Afternoon,Sunny,Wed,Autumn,2,0.09,0.77,0.07,0.84,0.44,Seen,Yes,0.92,43.6,Chased,Fleeing,Yes,30.6,Rural,0.95,0.46,App
23-07-17,Lahore,43.6,29.5,105,72,9,3,3,Monkey,Mammal,3,Evening,Sunny,Tue,Winter,2,0.84,0.85,0.96,0.15,0.62,Fed,No,0.53,21.3,Fed,Feeding,Yes,17.6,Rural,0.41,0.73,In-person
02-08-22,Peshawar,32.9,52.2,84,42,1,4,2,Hedgehog,Mammal,6,Evening,Foggy,Wed,Winter,1,0.1,0.31,0.81,0.96,0.79,Fed,Yes,0.72,31.8,Heard,Aggressive,No,4.4,Rural,0.96,0.78,App
13-06-11,Lahore,34.2,73.1,278,93,5,0,1,Porcupine,Mammal,9,Afternoon,Sunny,Tue,Winter,9,0.05,0.67,0.04,0.59,1,Chased,No,0.6,28.9,Fed,Fleeing,No,15.7,Urban,0.12,0.76,Hotline
18-11-17,Islamabad,20.8,28.1,108,62,1,3,6,Wild Cat,Mammal,3,Night,Sunny,Sat,Spring,1,0.52,0.64,0.65,0.36,0.56,Photographed,Yes,0.53,53.2,Chased,Calm,Yes,26.6,Rural,0.44,0.46,Hotline
03-04-26,Islamabad,32.2,76.3,53,68,5,0,1,Monkey,Mammal,1,Morning,Sunny,Tue,Summer,9,0.88,0.42,0.46,0.99,0,Fed,No,0.27,23.7,Chased,Calm,No,46.6,Rural,0.07,0.11,Website
14-07-11,Peshawar,16.6,26.2,111,92,8,3,8,Wild Cat,Mammal,9,Night,Foggy,Mon,Winter,6,0.52,0.73,0,0.47,0.3,Chased,No,0.87,43.2,Fed,Curious,Yes,29.5,Urban,0.28,0.92,Hotline
04-05-16,Quetta,16.4,27.7,170,63,3,3,9,Fox,Mammal,5,Evening,Sunny,Sun,Spring,4,0.09,0.42,0.88,0.94,0.47,Chased,No,0.65,10.9,Photographed,Aggressive,No,49.6,Rural,0.23,0.95,In-person
18-04-19,Karachi,34.5,62.5,286,85,9,2,1,Hedgehog,Mammal,9,Evening,Foggy,Wed,Summer,9,0.04,0.96,0.83,0.8,0.63,Seen,Yes,0.29,31.6,Photographed,Fleeing,No,29.9,Semi-urban,0.53,0.33,In-person
17-07-25,Quetta,30.5,54.4,194,63,2,2,5,Fox,Mammal,8,Night,Sunny,Wed,Summer,8,0.59,0.58,0.09,0.88,0.27,Photographed,Yes,0.22,53.4,Chased,Feeding,Yes,47.8,Rural,0.86,0.83,In-person
26-05-26,Peshawar,34.7,58.6,236,73,7,3,5,Fox,Mammal,8,Afternoon,Rainy,Fri,Autumn,4,0.05,0.53,0.96,0.11,0.89,Chased,Yes,0.99,4.6,Heard,Curious,Yes,44.2,Semi-urban,0.52,0.92,In-person
06-10-15,Peshawar,32.1,66.3,89,66,0,2,7,Owl,Bird,1,Morning,Cloudy,Sat,Spring,8,0.33,0.24,0.93,0.11,0.7,Photographed,Yes,0.27,53,Fed,Fleeing,Yes,48.1,Urban,0.47,0.89,App
25-01-25,Peshawar,15.2,77.4,230,69,6,1,3,Owl,Bird,2,Afternoon,Foggy,Sat,Summer,6,0.19,0.08,0.33,0.56,0.12,Fed,No,0.44,1.5,Chased,Fleeing,No,41,Urban,0.13,0.36,In-person
20-02-14,Quetta,15.6,50.3,275,67,4,4,5,Monkey,Mammal,4,Night,Cloudy,Fri,Spring,3,0.69,0.07,0.3,0.71,0.07,Seen,No,0.62,21.4,Chased,Curious,No,31.1,Urban,0.05,0.88,Website
24-09-25,Islamabad,44.2,87.8,213,98,2,3,6,Hedgehog,Mammal,1,Afternoon,Foggy,Fri,Autumn,5,0.37,0.82,0.25,0,0.16,Photographed,No,0.52,56.7,Fed,Feeding,No,5.2,Semi-urban,0.85,0.57,Website
09-11-26,Lahore,39.8,40.9,81,41,3,2,2,Porcupine,Mammal,1,Night,Cloudy,Sun,Autumn,7,0.43,0.94,0.42,0.64,0.4,Seen,No,0.35,59.1,Chased,Fleeing,No,20.5,Rural,0.89,0.31,Hotline
11-04-13,Peshawar,21.4,22.2,74,63,1,3,7,Fox,Mammal,9,Afternoon,Rainy,Sun,Winter,0,0.09,0.15,0.45,0.53,0.02,Chased,Yes,0.82,18.4,Fed,Fleeing,Yes,45.6,Rural,0.97,0.27,Hotline
18-11-21,Peshawar,28.9,20.1,248,56,3,3,8,Monkey,Mammal,6,Morning,Foggy,Sun,Summer,8,0.16,0.65,0.33,0.59,0.43,Photographed,No,0.99,9.8,Seen,Curious,No,23.3,Semi-urban,0.68,0.46,In-person
04-10-11,Quetta,44.2,70.5,60,84,8,0,5,Fox,Mammal,9,Morning,Cloudy,Sat,Summer,7,0.72,0.75,0.15,0.1,0.57,Heard,Yes,0.12,29.5,Chased,Calm,Yes,10.6,Semi-urban,0.35,0.8,Hotline
07-09-12,Islamabad,43.2,25.1,274,72,8,4,0,Fox,Mammal,4,Morning,Rainy,Sun,Winter,9,0.4,0.13,0.57,0.69,0.8,Photographed,No,0.28,10.9,Photographed,Fleeing,Yes,5.3,Urban,0.64,0.74,In-person
15-09-10,Quetta,15.9,85.5,152,70,8,1,7,Monkey,Mammal,8,Afternoon,Cloudy,Mon,Autumn,1,0.63,0.78,0.61,0.48,0.66,Fed,Yes,0.6,36.3,Chased,Feeding,Yes,39.2,Urban,0.48,0.14,In-person
22-01-12,Islamabad,19.9,50.7,259,93,6,3,8,Hedgehog,Mammal,3,Evening,Sunny,Sun,Autumn,9,0.33,0.47,0.74,0.87,0.43,Photographed,Yes,0.14,10.5,Seen,Fleeing,No,1.1,Rural,0.65,0.4,Website
05-11-19,Peshawar,31.3,54.5,205,49,2,2,5,Wild Cat,Mammal,1,Night,Rainy,Tue,Autumn,6,0.46,0.87,0.73,0.74,0.43,Chased,Yes,0.41,22.9,Heard,Fleeing,No,49.4,Rural,0.04,0.88,Website
13-11-26,Islamabad,32.4,50.7,166,73,3,1,1,Fox,Mammal,4,Night,Rainy,Mon,Winter,5,0.66,0.99,0.28,0.36,0.38,Fed,No,0.52,50.3,Photographed,Aggressive,No,11.9,Urban,0.78,0.46,Hotline
07-09-17,Quetta,33.1,64.3,63,53,1,4,4,Wild Cat,Mammal,6,Afternoon,Sunny,Sat,Winter,8,0.25,0.87,0.45,0.51,0.36,Photographed,No,0.63,10.6,Seen,Feeding,No,19.6,Rural,0.97,0.33,Hotline
13-01-22,Karachi,34.7,42.8,217,51,7,3,6,Wild Cat,Mammal,3,Evening,Foggy,Tue,Spring,5,0.17,0.52,0.34,0.83,0.43,Heard,No,0.32,37.4,Fed,Feeding,No,35.4,Urban,0.17,0.25,Website
23-10-11,Peshawar,16.1,71.5,278,51,4,0,0,Wild Cat,Mammal,8,Evening,Sunny,Thu,Winter,7,0.59,0.87,0.21,0.11,0.27,Heard,Yes,0.15,32.3,Chased,Feeding,No,46.8,Urban,0.04,0.21,In-person
06-03-14,Karachi,28.6,85.4,118,72,0,2,9,Wild Cat,Mammal,4,Morning,Foggy,Wed,Summer,4,0.48,0.69,0.02,0.32,0.97,Fed,No,0.62,16,Photographed,Calm,Yes,26.1,Semi-urban,0.34,0.58,App
19-04-18,Quetta,18.8,29.3,101,55,1,1,6,Cobra,Reptile,8,Afternoon,Sunny,Sat,Autumn,1,0.19,0.73,0.16,0.23,0.96,Photographed,No,0.33,40,Seen,Aggressive,Yes,48.9,Urban,0.37,0.12,Website
02-05-17,Peshawar,22.3,78.2,96,79,0,3,7,Owl,Bird,9,Morning,Cloudy,Fri,Spring,3,0.68,0.22,0.66,0.39,0.65,Chased,No,0.2,39.8,Photographed,Feeding,No,50,Rural,0.05,0.98,Hotline
13-04-15,Peshawar,27.2,81,122,92,8,2,3,Owl,Bird,2,Night,Foggy,Wed,Winter,5,0.33,0.67,0.81,0.76,0.8,Photographed,Yes,0.49,49.3,Chased,Fleeing,Yes,6.1,Semi-urban,0.54,0.11,App
13-10-14,Islamabad,24.7,45.7,248,54,4,2,8,Cobra,Reptile,1,Morning,Foggy,Wed,Spring,0,0.55,0.44,0.01,0.59,0.17,Seen,No,0.68,45.8,Seen,Aggressive,Yes,25.1,Urban,0.54,0.96,Website
16-09-26,Lahore,40.4,84,270,65,8,3,4,Monkey,Mammal,2,Afternoon,Sunny,Sun,Spring,4,0.25,0.48,0.39,0.55,0.75,Fed,Yes,0.74,31.8,Heard,Curious,Yes,41.1,Rural,0.43,0.91,App
03-08-10,Islamabad,17.1,86.8,85,50,2,3,4,Monkey,Mammal,6,Afternoon,Rainy,Sun,Spring,2,0.1,0.49,0.26,0.28,0.31,Seen,Yes,0.82,32.8,Heard,Calm,No,15.6,Urban,0.61,0.74,Website
19-12-17,Karachi,23.2,48.9,138,69,6,3,9,Monkey,Mammal,7,Evening,Sunny,Tue,Autumn,6,0.3,0.79,0.19,0.92,0.42,Fed,Yes,0.18,49.1,Seen,Fleeing,No,18.7,Semi-urban,0.53,0.2,App
08-01-12,Peshawar,15.1,64.7,70,61,8,1,8,Porcupine,Mammal,8,Morning,Rainy,Thu,Winter,9,0.36,0.91,0.77,0.56,0.26,Seen,No,0.37,44.2,Chased,Fleeing,Yes,42.6,Semi-urban,0.67,0.83,In-person
20-07-24,Karachi,38,30.5,232,89,4,0,2,Owl,Bird,2,Evening,Cloudy,Mon,Spring,0,0.22,0.1,0.02,0.64,0.61,Photographed,No,0.59,14.7,Chased,Feeding,No,19.6,Semi-urban,0.59,0.55,In-person
02-04-18,Karachi,44.6,29.6,134,57,2,1,5,Owl,Bird,7,Afternoon,Foggy,Thu,Spring,8,0.69,0.99,0.13,0.1,0.72,Chased,No,0.62,17.2,Chased,Fleeing,No,4.1,Rural,0.09,0.9,App
14-07-13,Islamabad,20.8,42.6,172,45,8,3,0,Bat,Mammal,2,Evening,Rainy,Wed,Spring,4,0.07,0.64,0.27,0.59,0.68,Chased,Yes,0.31,28,Seen,Calm,Yes,9.6,Semi-urban,0.05,0.44,App
24-08-14,Islamabad,25.9,89.7,264,69,3,3,9,Monkey,Mammal,4,Morning,Rainy,Sat,Winter,4,0.18,0.69,0.2,0.54,0.1,Chased,No,0.51,45.6,Chased,Calm,No,17.4,Rural,0.66,0.82,Website
10-04-21,Islamabad,42.8,36.4,141,90,7,4,3,Owl,Bird,8,Afternoon,Cloudy,Sat,Autumn,7,0.54,0.84,0.52,0.62,0.09,Heard,Yes,0.78,8.5,Photographed,Feeding,No,41.3,Urban,0.78,0.74,Website
10-06-18,Quetta,16.1,41.2,163,84,1,0,4,Porcupine,Mammal,2,Night,Sunny,Fri,Summer,8,0.55,0.31,0.4,0.45,0.6,Seen,Yes,0.56,55.2,Photographed,Curious,No,24.9,Semi-urban,0.99,0.87,App
25-05-10,Lahore,21.3,85.1,91,77,1,4,2,Monkey,Mammal,8,Night,Sunny,Tue,Winter,9,0.87,0.81,0.79,0.3,0.08,Seen,Yes,0.46,11.2,Chased,Fleeing,No,34.8,Semi-urban,0.35,0.98,Hotline
23-11-20,Islamabad,34.2,77.6,74,93,0,3,0,Wild Cat,Mammal,6,Evening,Sunny,Mon,Spring,3,0.5,0.4,0.15,0.37,0.07,Heard,Yes,0.12,9,Seen,Curious,No,48.2,Rural,0.55,0.97,In-person
29-03-12,Peshawar,28,41.8,127,59,1,4,5,Hedgehog,Mammal,2,Night,Rainy,Tue,Winter,6,0.15,0.06,0.78,0.46,0.06,Photographed,No,1,4.4,Seen,Curious,No,34.8,Rural,0.98,0.32,Website
13-09-11,Karachi,19.3,28.5,239,85,2,3,0,Porcupine,Mammal,4,Night,Sunny,Mon,Spring,3,1,0.81,0.62,0.31,0.62,Photographed,Yes,0.57,26.1,Heard,Curious,No,6.6,Semi-urban,0.89,0.5,App
05-05-10,Karachi,20.8,45.7,141,61,6,4,5,Hedgehog,Mammal,5,Night,Cloudy,Tue,Autumn,6,0.42,0.48,0.02,0.26,0.76,Fed,Yes,0.22,32.6,Fed,Feeding,No,10.8,Urban,0.01,0.32,In-person
09-04-25,Karachi,44.3,76.1,222,71,3,0,2,Bat,Mammal,1,Morning,Foggy,Mon,Summer,4,0.84,0.1,0.49,0.15,0.32,Fed,No,0.76,29.1,Fed,Fleeing,No,18.9,Semi-urban,0.39,0.51,App
